@relation bookkeeper3Training-weka.filters.unsupervised.attribute.Remove-R2

@attribute Version {4.0.0,4.1.0}
@attribute NR numeric
@attribute NAUTHORS numeric
@attribute LOC numeric
@attribute LOC_ADDED numeric
@attribute AVGLOCADDED numeric
@attribute MAXLOCADDED numeric
@attribute CHURN numeric
@attribute AVGCHURN numeric
@attribute MAXCHURN numeric
@attribute BUGGY {No,Yes}

@data
4.0.0,2,2,289,290,145,289,289,144,289,Yes
4.0.0,2,2,32,35,17,31,32,16,31,Yes
4.0.0,1,1,111,111,111,111,111,111,111,No
4.0.0,2,2,35,36,18,35,35,17,35,No
4.0.0,1,1,81,81,81,81,81,81,81,Yes
4.0.0,1,1,27,27,27,27,27,27,27,No
4.0.0,1,1,28,28,28,28,28,28,28,No
4.0.0,2,2,29,30,15,29,29,14,29,Yes
4.0.0,4,3,566,600,150,561,566,141,561,Yes
4.0.0,2,2,64,80,40,64,64,32,64,No
4.0.0,2,2,29,30,15,29,29,14,29,No
4.0.0,2,2,64,65,32,64,64,32,64,No
4.0.0,2,2,37,40,20,37,37,18,37,No
4.0.0,2,2,68,79,39,68,68,34,68,No
4.0.0,3,2,154,165,55,153,154,51,153,No
4.0.0,2,2,72,73,36,72,72,36,72,No
4.0.0,6,3,385,400,66,364,385,64,364,Yes
4.0.0,2,2,76,78,39,76,76,38,76,No
4.0.0,3,2,159,163,54,158,159,53,158,No
4.0.0,3,2,737,886,295,736,737,245,736,Yes
4.0.0,2,2,74,76,38,74,74,37,74,No
4.0.0,3,2,94,97,32,93,94,31,93,No
4.0.0,1,1,22,22,22,22,22,22,22,No
4.0.0,3,2,427,439,146,426,427,142,426,Yes
4.0.0,1,1,62,62,62,62,62,62,62,No
4.0.0,2,2,58,59,29,58,58,29,58,No
4.0.0,2,2,91,96,48,91,91,45,91,No
4.0.0,2,2,27,28,14,27,27,13,27,No
4.0.0,2,2,77,79,39,77,77,38,77,No
4.0.0,3,2,704,742,247,703,704,234,703,Yes
4.0.0,2,2,63,67,33,63,63,31,63,No
4.0.0,1,1,37,37,37,37,37,37,37,No
4.0.0,2,2,64,65,32,64,64,32,64,No
4.0.0,2,2,124,127,63,124,124,62,124,No
4.0.0,4,2,160,167,41,159,160,40,159,Yes
4.0.0,2,2,36,41,20,36,36,18,36,Yes
4.0.0,2,2,58,60,30,57,58,29,57,No
4.0.0,1,1,62,62,62,62,62,62,62,No
4.0.0,4,2,130,142,35,129,130,32,129,Yes
4.0.0,2,2,74,76,38,73,74,37,73,Yes
4.0.0,3,2,83,86,28,82,83,27,82,No
4.0.0,1,1,74,74,74,74,74,74,74,No
4.0.0,2,2,48,50,25,48,48,24,48,No
4.0.0,2,2,60,61,30,60,60,30,60,No
4.0.0,3,2,70,76,25,70,70,23,70,No
4.0.0,4,2,183,202,50,180,183,45,180,Yes
4.0.0,1,1,53,53,53,53,53,53,53,No
4.0.0,4,2,452,472,118,450,452,113,450,Yes
4.0.0,1,1,39,39,39,39,39,39,39,No
4.0.0,2,2,78,82,41,78,78,39,78,No
4.0.0,2,2,64,65,32,64,64,32,64,Yes
4.0.0,2,2,31,32,16,31,31,15,31,No
4.0.0,2,2,57,61,30,57,57,28,57,No
4.0.0,2,2,104,111,55,104,104,52,104,Yes
4.0.0,1,1,32,32,32,32,32,32,32,Yes
4.0.0,3,2,227,279,93,226,227,75,226,No
4.0.0,4,3,197,208,52,187,197,49,187,Yes
4.0.0,2,2,75,81,40,75,75,37,75,Yes
4.0.0,1,1,28,28,28,28,28,28,28,No
4.0.0,2,2,52,54,27,52,52,26,52,Yes
4.0.0,3,2,429,506,168,428,429,143,428,Yes
4.0.0,2,2,104,134,67,104,104,52,104,No
4.0.0,1,1,35,35,35,35,35,35,35,Yes
4.0.0,2,2,98,99,49,98,98,49,98,No
4.0.0,3,2,79,94,31,78,79,26,78,No
4.1.0,3,1,215,227,75,177,215,71,177,No
4.1.0,2,1,271,284,142,260,271,135,260,No
4.1.0,5,3,451,534,106,425,459,91,425,No
4.1.0,0,0,137,0,0,0,0,0,0,No
4.1.0,2,2,368,305,152,294,124,62,123,No
4.1.0,20,3,764,580,29,106,612,30,327,No
4.1.0,2,2,51,53,26,52,53,26,52,No
4.1.0,2,2,150,63,31,58,58,29,53,No
4.1.0,2,2,31,33,16,33,35,17,33,No
4.1.0,0,0,180,0,0,0,0,0,0,No
4.1.0,2,1,196,202,101,195,196,98,195,No
4.1.0,12,3,473,375,31,253,282,23,129,No
4.1.0,1,1,40,40,40,40,40,40,40,No
4.1.0,4,1,255,130,32,79,51,12,20,No
4.1.0,4,3,379,401,100,228,379,94,211,No
4.1.0,7,3,509,545,77,378,541,77,378,No
4.1.0,1,1,32,32,32,32,32,32,32,No
4.1.0,2,1,66,74,37,69,72,36,69,No
4.1.0,4,2,187,211,52,183,191,47,183,No
4.1.0,3,2,576,589,196,550,576,192,550,No
4.1.0,3,1,158,161,53,157,158,52,157,No
4.1.0,8,2,46,128,16,92,579,72,531,No
4.1.0,2,1,27,80,40,79,131,65,79,No
4.1.0,7,3,788,842,120,712,788,112,712,No
4.1.0,1,1,60,60,60,60,60,60,60,No
4.1.0,5,1,62,74,14,36,159,31,88,No
4.1.0,2,1,88,118,59,113,138,69,113,No
4.1.0,2,1,52,55,27,53,54,27,53,No
4.1.0,2,2,163,9,4,6,6,3,4,No
4.1.0,1,1,91,91,91,91,91,91,91,No
4.1.0,0,0,147,0,0,0,0,0,0,No
4.1.0,1,1,139,12,12,12,2,2,2,No
4.1.0,1,1,282,11,11,11,11,11,11,No
4.1.0,6,3,582,152,25,106,116,19,68,No
4.1.0,4,2,800,91,22,73,72,18,62,No
4.1.0,3,1,216,19,6,9,11,3,7,No
4.1.0,1,1,55,9,9,9,5,5,5,No
4.1.0,3,2,184,8,2,4,3,1,2,No
4.1.0,1,1,65,13,13,13,4,4,4,No
4.1.0,2,1,150,26,13,25,7,3,7,No
4.1.0,0,0,81,0,0,0,0,0,0,No
4.1.0,0,0,84,0,0,0,0,0,0,No
4.1.0,9,3,905,221,24,95,143,15,65,No
4.1.0,5,3,312,70,14,44,64,12,44,No
4.1.0,1,1,171,5,5,5,2,2,2,No
4.1.0,6,3,153,30,5,19,49,8,46,No
4.1.0,1,1,84,26,26,26,17,17,17,No
4.1.0,2,2,169,5,2,4,4,2,4,No
4.1.0,3,2,189,17,5,15,16,5,15,No
4.1.0,5,2,127,59,11,37,24,4,14,No
4.1.0,1,1,79,2,2,2,1,1,1,No
4.1.0,1,1,90,25,25,25,3,3,3,No
4.1.0,0,0,85,0,0,0,0,0,0,No
4.1.0,2,2,113,10,5,10,10,5,9,No
4.1.0,3,2,276,61,20,30,60,20,30,No
4.1.0,6,2,549,182,30,110,182,30,110,No
4.1.0,1,1,27,27,27,27,27,27,27,No
4.1.0,2,1,88,89,44,84,88,44,84,No
4.1.0,4,3,283,36,9,23,30,7,23,No
4.1.0,2,2,175,12,6,7,24,12,21,No
4.1.0,4,2,507,29,7,15,25,6,16,No
4.1.0,1,1,209,5,5,5,5,5,5,No
4.1.0,1,1,147,5,5,5,3,3,3,No
4.1.0,1,1,98,1,1,1,0,0,0,No
4.1.0,1,1,132,132,132,132,132,132,132,No
4.1.0,1,1,236,236,236,236,236,236,236,No
4.1.0,3,2,227,49,16,26,46,15,26,No
4.1.0,3,2,172,20,6,10,18,6,8,No
4.1.0,9,2,507,153,17,61,114,12,59,No
4.1.0,1,1,90,90,90,90,90,90,90,No
4.1.0,1,1,58,58,58,58,58,58,58,No
4.1.0,0,0,132,0,0,0,0,0,0,No
4.1.0,4,1,529,9,2,5,4,1,3,No
4.1.0,10,3,694,193,19,48,107,10,43,No
4.1.0,0,0,148,0,0,0,0,0,0,No
4.1.0,0,0,174,0,0,0,0,0,0,No
4.1.0,0,0,148,0,0,0,0,0,0,No
4.1.0,1,1,92,2,2,2,0,0,0,No
4.1.0,2,1,665,666,333,665,665,332,665,No
4.1.0,1,1,55,55,55,55,55,55,55,No
4.1.0,3,2,256,43,14,33,22,7,19,No
4.1.0,0,0,54,0,0,0,0,0,0,No
4.1.0,0,0,38,0,0,0,0,0,0,No
4.1.0,0,0,98,0,0,0,0,0,0,No
4.1.0,0,0,39,0,0,0,0,0,0,No
4.1.0,0,0,69,0,0,0,0,0,0,No
4.1.0,0,0,94,0,0,0,0,0,0,No
4.1.0,0,0,72,0,0,0,0,0,0,No
4.1.0,0,0,42,0,0,0,0,0,0,No
4.1.0,0,0,48,0,0,0,0,0,0,No
4.1.0,0,0,63,0,0,0,0,0,0,No
4.1.0,3,2,318,86,28,47,81,27,47,No
4.1.0,1,1,136,3,3,3,3,3,3,No
4.1.0,1,1,141,4,4,4,4,4,4,No
4.1.0,1,1,190,15,15,15,13,13,13,No
4.1.0,0,0,46,0,0,0,0,0,0,No
4.1.0,1,1,165,59,59,59,37,37,37,No
4.1.0,1,1,162,13,13,13,13,13,13,No
4.1.0,0,0,58,0,0,0,0,0,0,No
4.1.0,1,1,148,9,9,9,1,1,1,No
4.1.0,0,0,74,0,0,0,0,0,0,No
4.1.0,1,1,36,36,36,36,36,36,36,No
4.1.0,0,0,37,0,0,0,0,0,0,No
4.1.0,0,0,38,0,0,0,0,0,0,No
4.1.0,0,0,39,0,0,0,0,0,0,No
4.1.0,0,0,96,0,0,0,0,0,0,No
4.1.0,0,0,88,0,0,0,0,0,0,No
4.1.0,0,0,71,0,0,0,0,0,0,No
4.1.0,1,1,114,14,14,14,0,0,0,No
4.1.0,1,1,342,42,42,42,6,6,6,No
4.1.0,0,0,84,0,0,0,0,0,0,No
4.1.0,0,0,58,0,0,0,0,0,0,No
4.1.0,1,1,129,7,7,7,6,6,6,No
4.1.0,1,1,363,5,5,5,6,6,6,No
4.1.0,1,1,242,12,12,12,11,11,11,No
4.1.0,4,1,682,120,30,38,96,24,37,No
4.1.0,1,1,366,1,1,1,0,0,0,No
4.1.0,1,1,103,5,5,5,4,4,4,No
4.1.0,0,0,41,0,0,0,0,0,0,No
4.1.0,0,0,66,0,0,0,0,0,0,No
4.1.0,1,1,63,9,9,9,9,9,9,No
4.1.0,0,0,47,0,0,0,0,0,0,No
4.1.0,0,0,183,0,0,0,0,0,0,No
4.1.0,0,0,49,0,0,0,0,0,0,No
4.1.0,0,0,50,0,0,0,0,0,0,No
4.1.0,0,0,98,0,0,0,0,0,0,No
4.1.0,1,1,143,5,5,5,5,5,5,No
4.1.0,0,0,43,0,0,0,0,0,0,No
4.1.0,0,0,42,0,0,0,0,0,0,No
4.1.0,1,1,56,3,3,3,0,0,0,No
4.1.0,0,0,162,0,0,0,0,0,0,No
4.1.0,1,1,6523,6504,6504,6504,156,156,156,No
4.1.0,0,0,153,0,0,0,0,0,0,No
4.1.0,1,1,43,1,1,1,0,0,0,No
4.1.0,0,0,41,0,0,0,0,0,0,No
4.1.0,3,2,400,407,135,397,400,133,397,No
4.1.0,2,1,425,428,214,424,425,212,424,No
4.1.0,2,1,1041,1057,528,1029,1041,520,1029,No
4.1.0,1,1,92,92,92,92,92,92,92,No
4.1.0,2,1,355,357,178,357,359,179,357,No
4.1.0,0,0,105,0,0,0,0,0,0,No
4.1.0,0,0,105,0,0,0,0,0,0,No
4.1.0,0,0,92,0,0,0,0,0,0,No
4.1.0,0,0,101,0,0,0,0,0,0,No
4.1.0,0,0,45,0,0,0,0,0,0,No
4.1.0,2,1,299,12,6,8,10,5,8,No
4.1.0,1,1,32,1,1,1,0,0,0,No
4.1.0,0,0,111,0,0,0,0,0,0,No
4.1.0,0,0,35,0,0,0,0,0,0,No
4.1.0,1,1,85,4,4,4,4,4,4,No
4.1.0,0,0,27,0,0,0,0,0,0,No
4.1.0,0,0,28,0,0,0,0,0,0,No
4.1.0,2,1,36,7,3,5,7,3,5,No
4.1.0,2,1,574,11,5,8,8,4,5,No
4.1.0,1,1,67,3,3,3,3,3,3,No
4.1.0,0,0,29,0,0,0,0,0,0,No
4.1.0,1,1,72,8,8,8,8,8,8,No
4.1.0,0,0,37,0,0,0,0,0,0,No
4.1.0,2,1,51,52,26,51,51,25,51,No
4.1.0,1,1,31,31,31,31,31,31,31,No
4.1.0,1,1,77,9,9,9,9,9,9,No
4.1.0,1,1,168,14,14,14,14,14,14,No
4.1.0,1,1,81,10,10,10,9,9,9,No
4.1.0,1,1,37,37,37,37,37,37,37,No
4.1.0,1,1,27,27,27,27,27,27,27,No
4.1.0,1,1,48,48,48,48,48,48,48,No
4.1.0,3,1,436,79,26,53,67,22,53,No
4.1.0,1,1,77,77,77,77,77,77,77,No
4.1.0,1,1,63,63,63,63,63,63,63,No
4.1.0,0,0,76,0,0,0,0,0,0,No
4.1.0,2,1,191,193,96,190,191,95,190,No
4.1.0,1,1,160,1,1,1,1,1,1,No
4.1.0,3,1,906,207,69,165,169,56,131,No
4.1.0,0,0,74,0,0,0,0,0,0,No
4.1.0,0,0,94,0,0,0,0,0,0,No
4.1.0,0,0,22,0,0,0,0,0,0,No
4.1.0,2,1,481,62,31,50,54,27,42,No
4.1.0,0,0,62,0,0,0,0,0,0,No
4.1.0,0,0,58,0,0,0,0,0,0,No
4.1.0,1,1,94,3,3,3,3,3,3,No
4.1.0,0,0,27,0,0,0,0,0,0,No
4.1.0,0,0,77,0,0,0,0,0,0,No
4.1.0,3,1,744,43,14,29,40,13,28,No
4.1.0,1,1,64,64,64,64,64,64,64,No
4.1.0,1,1,45,45,45,45,45,45,45,No
4.1.0,0,0,63,0,0,0,0,0,0,No
4.1.0,0,0,37,0,0,0,0,0,0,No
4.1.0,0,0,64,0,0,0,0,0,0,No
4.1.0,0,0,124,0,0,0,0,0,0,No
4.1.0,2,1,172,21,10,11,12,6,10,No
4.1.0,1,1,36,2,2,2,0,0,0,No
4.1.0,0,0,58,0,0,0,0,0,0,No
4.1.0,0,0,62,0,0,0,0,0,0,No
4.1.0,1,1,132,4,4,4,2,2,2,No
4.1.0,1,1,74,1,1,1,0,0,0,No
4.1.0,0,0,83,0,0,0,0,0,0,No
4.1.0,0,0,74,0,0,0,0,0,0,No
4.1.0,0,0,48,0,0,0,0,0,0,No
4.1.0,0,0,60,0,0,0,0,0,0,No
4.1.0,1,1,86,18,18,18,16,16,16,No
4.1.0,3,1,355,253,84,241,186,62,174,No
4.1.0,0,0,53,0,0,0,0,0,0,No
4.1.0,4,1,612,185,46,98,160,40,92,No
4.1.0,0,0,39,0,0,0,0,0,0,No
4.1.0,0,0,78,0,0,0,0,0,0,No
4.1.0,1,1,85,24,24,24,21,21,21,No
4.1.0,0,0,31,0,0,0,0,0,0,No
4.1.0,0,0,57,0,0,0,0,0,0,No
4.1.0,1,1,108,4,4,4,4,4,4,No
4.1.0,1,1,32,1,1,1,0,0,0,No
4.1.0,0,0,227,0,0,0,0,0,0,No
4.1.0,1,1,201,4,4,4,4,4,4,No
4.1.0,1,1,80,5,5,5,5,5,5,No
4.1.0,0,0,28,0,0,0,0,0,0,No
4.1.0,1,1,57,5,5,5,5,5,5,No
4.1.0,2,1,446,18,9,17,17,8,17,No
4.1.0,0,0,104,0,0,0,0,0,0,No
4.1.0,1,1,35,1,1,1,0,0,0,No
4.1.0,0,0,98,0,0,0,0,0,0,No
4.1.0,0,0,79,0,0,0,0,0,0,No
